screen_name,name,account_created,tweets,following,followers
CTCSquares,CinnamonToastCrunch,5 years ago,10334,1311,20944
GenMillsCereal,General Mills Cereal,5 years ago,2174,251,18158
LuckyCharms,Lucky Charms,5 years ago,8809,487,22309
PopTartsUS,Pop-Tarts,8 years ago,23044,6,159076
ChipsAhoy,Chips Ahoy!,5 years ago,7278,10,17494
ChexCereal,Chex Cereal,4 years ago,2734,634,16381
Ritzcrackers,Ritz crackers,6 years ago,11599,651,22867
RealCapnCrunch,Cap'n Crunch,7 years ago,24824,850,40294
Jif,JifÂ® Peanut Butter,7 years ago,5672,644,17101
NutellaGlobal,Nutella,3 years ago,1607,8,24559
NutellaUSA,Nutella,6 years ago,7234,535,152409
SargentoCheese,SargentoCheese,9 years ago,7576,546,20749
Skippy,SKIPPY Peanut Butter,8 years ago,3843,570,16609
HeinzKetchup_US,Heinz Ketchup,8 years ago,7586,151,41647
DelMonteFresh,Del Monte Fresh,8 years ago,17358,2569,30550
Uncrustables,UncrustablesÂ®,7 years ago,7730,745,15333
frosted_flakes,Frosted Flakes,5 years ago,804,292,34820
SwitchToTurkey,Jennie-O,6 years ago,4235,650,8319
NestleCA,NestlÃ© Canada,3 years ago,1110,214,724
eastwestbanker,EastWest Bank,7 years ago,8582,810,6721
LandRoverUKPR,Land Rover UK PR,8 years ago,2733,1138,57863
Capgemini,Capgemini,10 years ago,70707,1619,102018
Accenture,Accenture,10 years ago,19817,1296,426767
SiemensHealth,Siemens Healthineers,9 years ago,9342,1131,67027
WHotels,W Hotels,9 years ago,9748,2313,101973
firstcitizens,First Citizens Bank,8 years ago,550,254,1436
FNBSF,First National Bank,8 years ago,2529,236,889
HancockWhitney,Hancock Whitney,9 years ago,1103,377,1822
HSBC,HSBC,6 years ago,2802,547,170685
FNBOmaha,First National Bank,6 years ago,18078,709,13428
efirstbank,1STBank,9 years ago,4460,496,4029
FrostBank,Frost Bank,5 years ago,1533,245,21452
HSBC_Sport,HSBC Sport,4 years ago,3419,1122,27259
HSBC_UK,HSBC UK,3 years ago,48778,31,64966
HSBCUKBusiness,HSBC UK Business,7 years ago,16993,657,30524
HSBC_UK_Careers,HSBC UK Careers,9 years ago,3451,177,20202
HSBC_NOW,HSBC NOW,5 years ago,1241,176,51260
FlatTummyCo,Flat Tummy Co,4 years ago,3733,28,9259
Maxwell_House,Maxwell House,4 years ago,2219,232,9608
TheOfficialSBI,State Bank of India,4 years ago,269206,20,3478488
FiveGuys,Five Guys,9 years ago,36144,941,78562
AmerisBank,Ameris Bank,3 years ago,1154,540,2435
innoutburger,In-N-Out Burger,9 years ago,3,0,50422
BofA_Help,Bank of America Help,9 years ago,745242,63471,119109
umamiburger,Umami Burger,9 years ago,12265,984,18286
ChipotleTweets,Chipotle,8 years ago,743902,25,883517
Beal_Bank,Beal Bank (Official),about a year ago,0,1,23
1stSourceBank,1st Source Bank,10 years ago,4610,641,1450
PoaliMarkeTweet,Bank Hapoalim,8 years ago,10170,20,2061
BancFirstOK,BancFirst,8 years ago,1,9,551
BankofHawaii,Bank of Hawaii,7 years ago,10623,3007,7936
qdoba,Qdoba,9 years ago,55496,7374,49951
shakeshack,SHAKE SHACK,7 years ago,46712,817,79145
Moes_HQ,Moe'sSouthwestGrill,8 years ago,116182,46904,89101
BarclaysFooty,Barclays Football,8 years ago,17561,1134,239981
BancStadium,Banc of California Stadium,2 years ago,350,12,4701
ArvestBank,Arvest Bank,9 years ago,5538,96,6431
LeumiUS,Leumi,2 years ago,1186,586,251
bankofbaroda,Bank of Baroda,2 years ago,25561,67,56117
BankUnited,BankUnited,7 years ago,1425,190,1073
Banner_Bank,Banner Bank,8 years ago,2046,174,8259
BarclaysUKHelp,Barclays UK Help,3 years ago,318379,18994,31795
Barclays,Barclays Bank,7 years ago,1463,28,255781
BarclaysBizChat,Barclays Business,7 years ago,3529,379,22639
BNPPRE_UK,BNPParibasRealEstate,8 years ago,8590,1901,14283
BMOHarrisBank,BMO Harris Bank,6 years ago,6222,3346,11481
BBVACompass,BBVA Compass,9 years ago,27347,500,12201
BarclaysScot,Barclays Scotland,9 months ago,189,74,236
BarclaysCorp,Barclays Corporate,7 years ago,2305,655,11858
BerkshireBank,Berkshire Bank,7 years ago,2234,1131,1785
BeneficialBank,Beneficial Bank,9 years ago,3607,254,1981
