fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
1,Walmart,@walmart,,WMT,C. Douglas McMillon,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Bentonville, Ark.",http://www.stock.walmart.com,24
2,Exxon Mobil,@exxonmobil,,XOM,Darren W. Woods,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,24
3,Berkshire Hathaway,n/a ,,BRK.A,Warren E. Buffett,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Omaha,http://www.berkshirehathaway.com,24
4,Apple,@apple,,AAPL,Timothy D. Cook,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,24
5,UnitedHealth Group,@UnitedHealthGrp,,UNH,David S. Wichmann,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,24
6,McKesson,@McKesson,,MCK,John H. Hammergren,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,San Francisco,http://www.mckesson.com,24
7,CVS Health,@cvspharmacy,,CVS,Larry J. Merlo,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,24
8,Amazon.com,@amazon,,AMZN,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer",Retailing,Internet Services and Retailing,Seattle,http://www.amazon.com,17
9,AT&T,@ATT,,T,Randall L. Stephenson,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Dallas,http://www.att.com,24
10,General Motors,@gm,,GM,Mary T. Barra,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.gm.com,24
11,Ford Motor,@Ford,,F,James P. Hackett,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",http://www.corporate.ford.com,24
12,AmerisourceBergen,@healthcare_abc,,ABC,Steven H. Collis,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,24
13,Chevron,@chevron,,CVX,Michael K. Wirth,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",http://www.chevron.com,24
14,Cardinal Health,@cardinalhealth,,CAH,Michael C. Kaufmann,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",http://www.cardinalhealth.com,24
15,Costco,@costco,,COST,W. Craig Jelinek,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Issaquah, Wash.",http://www.costco.com,24
16,Verizon,@verizon,,VZ,Lowell C. McAdam,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,New York City,http://www.verizon.com,24
17,Kroger,@kroger,,KR,W. Rodney McMullen,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,Cincinnati,http://www.thekrogerco.com,24
18,General Electric,@generalelectric,,GE,John L. Flannery Jr.,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Boston,http://www.ge.com,24
19,Walgreens Boots Alliance,n/a ,,WBA,Stefano Pessina,Vice Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",http://www.walgreensbootsalliance.com,24
20,JPMorgan Chase,@JPMorgan,,JPM,James Dimon,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.jpmorganchase.com,24
21,Fannie Mae,@fanniemae,,FNMA,Timothy J. Mayopoulos,"President, Chief Executive Officer & Director",Financials,Diversified Financials,Washington,http://www.fanniemae.com,21
22,Alphabet,n/a ,,GOOGL,Larry Page,Chief Executive Officer & Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",http://www.abc.xyz,13
23,Home Depot,@HomeDepot,,HD,Craig A. Menear,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Atlanta,http://www.homedepot.com,24
24,Bank of America Corp.,@bankofamerica,,BAC,Brian T. Moynihan,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Charlotte, N.C.",http://www.bankofamerica.com,24
25,Express Scripts Holding,@expressscripts,,ESRX,Timothy C. Wentworth,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,St. Louis,http://www.express-scripts.com,19
26,Wells Fargo,@wellsfargo,,WFC,Timothy J. Sloan,"President, Chief Executive Officer & Director",Financials,Commercial Banks,San Francisco,http://www.wellsfargo.com,24
27,Boeing,@Boeing,,BA,Dennis A. Muilenburg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,Chicago,http://www.boeing.com,24
28,Phillips,@Phillips66Co,,PSX,Greg C. Garland,Chairman & Chief Executive Officer,Energy,Petroleum Refining,Houston,http://www.phillips66.com,6
29,Anthem,@AnthemInc,,ANTM,Gail K. Boudreaux,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,Indianapolis,http://www.antheminc.com,24
30,Microsoft,@microsoft,,MSFT,Satya Nadella,Chief Executive Officer & Director,Technology,Computer Software,"Redmond, Wash.",http://www.microsoft.com,24
31,Valero Energy,n/a ,,VLO,Joseph W. Gorder,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,San Antonio,http://www.valero.com,20
32,Citigroup,@citi,,C,Michael L. Corbat,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.citigroup.com,24
33,Comcast,@comcast,,CMCSA,Brian L. Roberts,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Philadelphia,http://www.comcastcorporation.com,23
34,IBM,@ibm,,IBM,Virginia M. Rometty,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Armonk, N.Y.",http://www.ibm.com,24
35,Dell Technologies,@dell,,,Michael S. Dell,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Round Rock, Texas",http://www.delltechnologies.com,21
36,State Farm Insurance Cos.,@statefarm,,,Michael L. Tipsord,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",http://www.statefarm.com,24
37,Johnson & Johnson,@jnjnews,,JNJ,Alex Gorsky,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",http://www.jnj.com,24
38,Freddie Mac,@freddiemac,,FMCC,Donald H. Layton,Chairman & Chief Executive Officer,Financials,Diversified Financials,"McLean, Va.",http://www.freddiemac.com,21
39,Target,@Target,,TGT,Brian C. Cornell,Chairman & Chief Executive Officer,Retailing,General Merchandisers,Minneapolis,http://www.target.com,24
40,Lowe’s,@lowes,,LOW,Robert A. Niblock,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,"Mooresville, N.C.",http://www.lowes.com,24
41,Marathon Petroleum,@marathonpetroco,,MPC,Gary R. Heminger,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",http://www.marathonpetroleum.com,7
42,Procter & Gamble,@proctergamble,,PG,David S. Taylor,"Chairman, President & Chief Executive Officer",Household Products,Household and Personal Products,Cincinnati,http://www.pg.com,24
43,MetLife,@metlife,,MET,Steven A. Kandarian,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",New York City,http://www.metlife.com,24
44,UPS,@ups,,UPS,David P. Abney,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Atlanta,http://www.ups.com,24
45,PepsiCo,@pepsi,,PEP,Indra K. Nooyi,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",http://www.pepsico.com,24
46,Intel,@intel,,INTC,Brian M. Krzanich,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.intel.com,24
47,DowDuPont,@dowchemical,,DWDP,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,"Midland, Mich.",www.dow-dupont.com,24
48,Archer Daniels Midland,@admupdates,,ADM,Juan R. Luciano,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,Chicago,http://www.adm.com,24
49,Aetna,@Aetna,,AET,Mark T. Bertolini,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Hartford, Conn.",http://www.aetna.com,18
50,FedEx,@FedEx,,FDX,Frederick W. Smith,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Memphis,http://www.fedex.com,24
51,United Technologies,@UTC,,UTX,Gregory J. Hayes,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",http://www.utc.com,24
52,Prudential Financial,@pfglender,,PRU,John R. Strangfeld,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newark, N.J.",http://www.prudential.com,24
